Datetime,Mud Pump A,React 55 Mud Flow to Mud Pump A,MUD PUMP A SUCTION PRESS,MUD PUMP A SPEED,MUD PUMP A SPEED,PUM-34A- Current,Mud pump A speed,MUD PUMP A CYLINDER 2,MUD PUMP A CYLINDER 3,Mud Pump A Cylinder #1 Temperature,Mud Pump A Cylinder #2 Temperature,Mud Pump A Cylinder #3 Temperature,Mud Pump A Cylinder #4 Temperature
03-Sep-24 11:00:00,RUN,79.33,335.10,30.52,70.04,246.59,41.45,6033.50,6051.92,62.29,53.48,61.17,58.02
03-Sep-24 12:00:00,RUN,126.37,426.76,42.03,99.32,271.15,41.45,7306.45,7338.46,61.69,51.46,61.14,57.72
03-Sep-24 13:00:00,RUN,152.97,430.60,42.01,99.39,266.11,41.45,6839.52,6866.16,62.49,51.04,61.58,56.96
03-Sep-24 14:00:00,RUN,129.42,417.75,42.04,99.34,263.10,41.45,6993.31,7017.52,62.01,51.92,61.66,57.17
03-Sep-24 15:00:00,RUN,152.43,423.40,42.05,99.31,262.94,41.45,6797.53,6825.06,63.12,51.90,61.96,57.72
03-Sep-24 16:00:00,RUN,146.91,426.16,42.05,99.28,265.51,41.45,7005.09,7025.38,62.76,52.40,61.75,57.69
03-Sep-24 17:00:00,RUN,146.60,425.23,42.07,99.27,267.34,41.45,6985.94,7015.39,62.80,53.14,62.02,57.90
03-Sep-24 18:00:00,RUN,137.70,419.86,42.03,99.34,272.38,41.45,6942.26,6969.09,62.89,53.99,61.73,58.05
03-Sep-24 19:00:00,RUN,158.56,402.30,42.02,99.34,256.15,41.45,6572.14,6595.42,63.08,53.73,62.00,58.08
03-Sep-24 20:00:00,RUN,94.00,309.62,42.06,99.24,250.28,41.45,5649.45,5676.35,62.07,52.83,61.06,57.42
03-Sep-24 21:00:00,RUN,90.57,319.54,38.63,91.96,249.87,41.45,5826.98,5857.68,61.51,52.49,60.58,56.60
03-Sep-24 22:00:00,RUN,95.61,366.45,42.04,99.32,273.17,41.45,7202.37,7223.99,62.09,53.17,60.73,57.37
03-Sep-24 23:00:00,RUN,102.61,348.72,41.95,99.48,259.82,41.45,6673.37,6696.60,62.87,53.32,60.98,57.03
04-Sep-24 00:00:00,RUN,127.22,393.95,42.03,99.35,267.01,40.45,7180.75,7204.10,62.65,54.33,61.43,57.60
04-Sep-24 01:00:00,RUN,95.56,365.30,42.00,99.39,268.12,40.45,6952.79,6976.86,62.64,52.70,61.34,56.55
04-Sep-24 02:00:00,RUN,93.91,354.72,41.98,99.45,269.96,40.45,6899.26,6922.82,62.59,53.55,61.02,57.68
04-Sep-24 03:00:00,RUN,114.68,380.44,41.95,99.48,269.05,40.45,6895.11,6925.89,62.46,53.07,61.75,57.85
04-Sep-24 04:00:00,RUN,98.98,369.37,42.05,99.29,262.95,40.45,6939.37,6965.66,62.58,51.82,61.26,56.43
04-Sep-24 05:00:00,RUN,97.62,371.36,41.94,99.53,271.36,40.45,7163.20,7192.02,62.14,52.59,61.33,57.21
04-Sep-24 06:00:00,RUN,96.29,366.07,42.00,99.44,261.86,40.45,6666.23,6692.41,62.72,52.49,61.72,57.19
04-Sep-24 07:00:00,RUN,112.48,395.43,42.06,99.33,260.50,40.45,7232.20,7247.90,62.37,53.82,61.48,58.06
04-Sep-24 08:00:00,RUN,95.37,352.66,41.98,99.45,271.37,40.45,6711.55,6731.84,61.65,52.00,60.10,55.92
04-Sep-24 09:00:00,RUN,77.54,270.59,26.55,62.80,247.46,40.45,5363.94,5388.09,60.30,51.80,58.83,55.44
04-Sep-24 10:00:00,RUN,165.09,435.38,41.99,99.41,276.31,40.45,7670.31,7691.67,61.80,52.25,60.18,55.64
04-Sep-24 11:00:00,RUN,104.57,376.83,42.01,99.33,253.85,40.45,6137.51,6163.10,62.62,52.64,61.43,58.04
04-Sep-24 12:00:00,RUN,102.12,364.14,42.03,99.36,254.75,40.45,6169.97,6199.49,61.86,51.23,61.09,57.12
04-Sep-24 13:00:00,RUN,91.55,314.14,39.88,94.07,256.16,40.45,5782.34,5808.56,62.11,52.63,60.90,57.55
04-Sep-24 14:00:00,RUN,77.69,306.25,29.14,68.70,247.89,40.45,5690.27,5712.35,61.52,50.90,60.46,56.64
04-Sep-24 15:00:00,RUN,92.27,318.52,40.30,95.62,253.74,40.45,5585.04,5607.29,61.96,51.88,60.81,56.38
04-Sep-24 16:00:00,RUN,94.09,357.69,41.94,99.47,257.83,40.45,6537.95,6558.90,61.55,50.98,60.65,55.97
04-Sep-24 17:00:00,RUN,90.68,335.54,38.52,90.54,261.72,40.45,6238.36,6262.58,61.11,51.45,60.05,56.77
04-Sep-24 18:00:00,RUN,82.16,344.62,31.65,73.56,255.19,40.45,6171.44,6202.85,61.22,51.98,59.56,54.75
04-Sep-24 19:00:00,RUN,95.08,310.34,42.04,99.33,268.33,40.45,6765.74,6790.19,62.03,52.03,60.27,55.61
04-Sep-24 20:00:00,RUN,93.99,295.52,41.90,99.60,260.98,40.45,6697.37,6716.83,62.76,52.38,60.40,56.16
04-Sep-24 21:00:00,RUN,109.89,317.59,41.97,99.45,258.31,40.45,6739.61,6759.25,61.47,52.51,60.70,56.87
04-Sep-24 22:00:00,RUN,177.99,419.41,42.03,99.35,257.80,40.45,6629.83,6655.33,62.69,53.37,61.53,56.75
04-Sep-24 23:00:00,RUN,125.34,404.68,42.01,99.40,259.83,40.45,7078.83,7101.63,61.78,53.39,60.98,58.12
05-Sep-24 00:00:00,RUN,96.87,367.40,42.04,99.33,270.14,38.51,6944.46,6973.89,61.80,52.27,59.53,55.71
05-Sep-24 01:00:00,RUN,132.51,391.73,41.95,99.50,268.96,38.51,6847.25,6875.29,60.74,50.06,59.18,55.73
05-Sep-24 02:00:00,RUN,108.99,377.94,42.03,99.35,266.21,38.51,7086.47,7113.11,61.19,52.86,59.93,56.25
05-Sep-24 03:00:00,RUN,95.53,359.73,42.03,99.33,270.33,38.51,6959.71,6988.42,61.73,52.00,61.06,54.19
05-Sep-24 04:00:00,RUN,94.27,355.67,42.02,99.38,263.14,38.51,6892.57,6911.05,61.40,50.75,60.84,53.64
05-Sep-24 05:00:00,RUN,126.17,377.32,42.03,99.36,261.64,38.51,6891.26,6911.00,61.43,51.86,60.66,54.06
05-Sep-24 06:00:00,RUN,93.89,364.90,41.95,99.48,270.23,38.51,7138.60,7170.02,61.67,48.78,60.81,53.62
05-Sep-24 07:00:00,RUN,82.15,314.95,31.32,71.20,252.68,38.51,5953.33,5979.51,61.81,48.63,61.03,54.35
05-Sep-24 08:00:00,RUN,76.56,220.63,26.66,62.87,232.94,38.51,4372.23,4401.68,59.37,48.72,59.12,52.95
05-Sep-24 09:00:00,RUN,88.29,264.01,36.64,85.98,223.70,38.51,3694.27,3713.86,59.11,50.34,58.75,54.54
05-Sep-24 10:00:00,RUN,90.82,282.30,37.83,89.33,227.92,38.51,3881.61,3910.71,58.50,48.83,57.96,52.56
05-Sep-24 11:00:00,RUN,89.59,406.73,39.78,94.58,275.83,38.51,7774.36,7796.37,60.17,48.02,59.23,53.52
05-Sep-24 12:00:00,RUN,86.22,288.96,34.80,83.25,249.32,38.51,5480.69,5510.08,60.96,48.52,60.18,55.03
05-Sep-24 13:00:00,RUN,84.69,358.27,33.51,78.59,251.64,38.51,6034.46,6055.28,59.72,49.43,59.20,53.26
05-Sep-24 14:00:00,RUN,90.97,365.59,40.74,96.14,265.15,38.51,6804.51,6833.89,61.08,49.39,60.32,54.98
05-Sep-24 15:00:00,RUN,84.80,325.11,33.84,79.14,242.23,38.51,5030.95,5059.75,61.13,49.47,60.33,54.50
05-Sep-24 16:00:00,RUN,101.49,436.07,41.97,99.24,262.70,38.51,6658.21,6676.54,60.39,49.34,59.67,53.82
05-Sep-24 17:00:00,RUN,141.96,440.30,41.99,99.21,272.03,38.51,7240.23,7262.48,60.74,50.04,60.25,54.56
05-Sep-24 18:00:00,RUN,80.87,389.57,33.23,79.61,261.02,38.51,6615.50,6649.54,60.66,49.13,59.98,53.90
05-Sep-24 19:00:00,RUN,92.74,397.25,39.26,92.84,265.85,38.51,7101.58,7114.67,60.45,49.90,59.78,54.16
05-Sep-24 20:00:00,RUN,86.02,378.07,38.37,91.45,267.04,38.51,7108.61,7133.19,60.80,49.07,60.20,54.10
05-Sep-24 21:00:00,RUN,94.06,380.35,42.04,99.09,265.77,38.51,7023.90,7044.49,61.22,53.30,60.34,56.05
05-Sep-24 22:00:00,RUN,97.58,382.51,42.03,99.12,262.33,38.51,6964.25,6983.12,61.38,50.82,60.58,54.39
05-Sep-24 23:00:00,RUN,87.10,380.70,35.81,84.18,262.25,38.51,6870.12,6899.00,60.67,49.01,59.84,53.68
06-Sep-24 00:00:00,RUN,83.40,376.08,33.26,78.40,259.70,37.95,6935.95,6956.81,60.88,50.72,60.05,53.85
06-Sep-24 01:00:00,RUN,87.69,373.83,35.79,84.51,261.29,37.95,6800.33,6830.48,61.04,49.32,60.16,53.73
06-Sep-24 02:00:00,RUN,84.72,385.95,33.14,77.85,255.60,37.95,6756.77,6776.95,60.42,48.50,59.50,53.50
06-Sep-24 03:00:00,RUN,87.60,391.20,35.72,84.00,263.01,37.95,6905.52,6926.37,60.49,49.17,59.52,52.90
06-Sep-24 04:00:00,RUN,84.98,399.04,37.45,88.50,269.70,37.95,7014.80,7038.45,60.44,49.19,59.74,52.82
06-Sep-24 05:00:00,RUN,85.51,366.23,35.76,84.57,264.97,37.95,6770.14,6790.38,61.00,47.67,60.12,53.42
06-Sep-24 06:00:00,RUN,89.88,372.61,40.66,96.50,264.10,37.95,6990.23,7012.31,61.08,49.84,60.28,53.79
06-Sep-24 07:00:00,RUN,89.07,383.12,39.67,94.00,270.47,37.95,7106.71,7126.34,61.16,49.00,60.12,54.30
06-Sep-24 08:00:00,RUN,85.42,314.12,33.08,78.24,246.83,37.95,5860.18,5883.11,60.91,49.16,60.02,54.03
06-Sep-24 09:00:00,RUN,61.22,188.94,16.94,39.09,222.71,37.95,3372.01,3397.38,57.81,46.70,57.60,52.39
06-Sep-24 10:00:00,RUN,81.32,438.04,32.73,77.06,259.76,37.95,6939.16,6966.23,59.55,49.82,58.87,52.94
06-Sep-24 11:00:00,RUN,85.37,404.03,36.97,87.02,267.24,37.95,6955.02,6976.46,61.66,50.99,60.92,55.56
06-Sep-24 12:00:00,RUN,91.32,364.98,38.99,92.45,272.91,37.95,6926.61,6953.51,62.33,53.01,61.77,56.71
06-Sep-24 13:00:00,RUN,94.92,389.70,41.84,98.80,267.79,37.95,7228.65,7256.18,62.11,50.69,61.49,56.11
06-Sep-24 14:00:00,RUN,98.07,383.69,42.04,98.59,270.08,37.95,7037.92,7066.68,63.04,54.03,61.62,58.94
06-Sep-24 15:00:00,RUN,93.22,399.07,41.48,97.99,270.04,37.95,7560.51,7588.68,62.75,53.52,61.43,59.41
06-Sep-24 16:00:00,RUN,94.12,371.30,41.00,96.80,266.90,37.95,6791.73,6823.80,63.38,56.50,62.78,60.42
06-Sep-24 17:00:00,RUN,92.06,371.21,41.03,97.18,272.65,37.95,6980.39,7005.92,63.47,55.02,62.25,59.89
06-Sep-24 18:00:00,RUN,92.02,369.54,39.51,92.47,267.37,37.95,6951.59,6970.57,63.26,54.94,62.04,58.95
06-Sep-24 19:00:00,RUN,93.36,384.19,41.12,96.94,266.15,37.95,6929.56,6949.37,62.94,54.97,62.41,59.90
06-Sep-24 20:00:00,RUN,83.92,369.62,33.35,78.28,266.57,37.95,6939.42,6966.15,61.55,55.08,59.83,58.05
06-Sep-24 21:00:00,RUN,93.11,366.62,40.00,94.75,262.07,37.95,7061.39,7073.17,58.58,52.91,57.36,55.32
06-Sep-24 22:00:00,RUN,102.59,394.81,41.94,99.23,266.40,37.95,7243.87,7267.85,60.36,52.00,58.82,57.14
06-Sep-24 23:00:00,RUN,87.76,381.59,37.62,88.58,254.23,37.95,6650.85,6670.90,62.11,54.06,61.51,56.77
07-Sep-24 00:00:00,RUN,84.80,357.86,35.18,81.70,263.54,39.47,6596.26,6624.38,63.21,55.82,61.77,59.77
07-Sep-24 01:00:00,RUN,91.97,384.48,39.20,93.16,273.52,39.47,7249.65,7272.58,63.97,53.92,63.37,57.04
07-Sep-24 02:00:00,RUN,86.80,381.95,39.69,93.25,262.55,39.47,6939.65,6965.91,63.16,55.36,62.28,58.29
07-Sep-24 03:00:00,RUN,92.21,380.17,40.28,95.94,271.80,39.47,7093.29,7114.91,63.06,56.01,61.98,59.42
07-Sep-24 04:00:00,RUN,84.51,370.65,36.03,85.13,257.83,39.47,6890.96,6904.77,63.41,54.77,61.80,58.57
07-Sep-24 05:00:00,RUN,89.86,369.83,38.32,90.38,270.09,39.47,6984.63,7009.50,63.47,54.16,62.53,57.20
07-Sep-24 06:00:00,RUN,91.95,374.30,39.19,92.58,274.38,39.47,7227.61,7255.76,63.23,54.68,60.61,58.71
07-Sep-24 07:00:00,RUN,87.84,358.07,38.12,90.61,265.11,39.47,6841.64,6863.24,63.38,55.66,62.30,58.52
07-Sep-24 08:00:00,RUN,90.80,347.53,33.88,79.54,260.22,39.47,6688.44,6704.65,62.53,52.58,61.99,55.67
07-Sep-24 09:00:00,RUN,90.19,343.22,39.58,92.48,255.28,39.47,5752.06,5784.11,60.58,49.52,60.07,54.14
07-Sep-24 10:00:00,RUN,90.26,382.20,37.55,88.58,266.49,39.47,7362.83,7390.83,62.75,51.12,62.01,56.22
07-Sep-24 11:00:00,RUN,81.24,399.30,35.46,83.79,254.68,39.47,6849.92,6867.83,63.12,51.18,62.57,55.98
07-Sep-24 12:00:00,RUN,90.77,355.18,39.69,95.64,267.00,39.47,6933.92,6964.57,63.60,54.76,63.20,57.29
07-Sep-24 13:00:00,RUN,109.61,388.85,41.99,99.16,269.37,39.47,7275.41,7306.23,63.55,56.39,62.46,58.99
07-Sep-24 14:00:00,RUN,98.64,370.05,42.05,99.05,264.66,39.47,6928.86,6947.95,64.16,54.60,63.66,57.61
07-Sep-24 15:00:00,RUN,126.80,386.44,41.98,99.19,263.62,39.47,6862.59,6884.12,64.16,55.24,63.64,57.78
07-Sep-24 16:00:00,RUN,98.76,380.69,41.98,99.18,270.72,39.47,7128.13,7163.47,63.98,55.51,62.16,60.29
07-Sep-24 17:00:00,RUN,124.64,388.78,41.93,99.26,267.51,39.47,7027.82,7054.00,63.69,53.85,61.09,60.19
07-Sep-24 18:00:00,RUN,98.45,356.23,41.94,99.24,266.25,39.47,6910.36,6930.65,63.11,56.94,62.81,60.22
07-Sep-24 19:00:00,RUN,129.51,396.07,41.99,99.14,267.22,39.47,6969.70,6992.59,63.13,53.79,60.55,60.38
07-Sep-24 20:00:00,RUN,104.30,372.35,42.06,99.01,270.19,39.47,6953.39,6981.51,63.49,55.42,61.94,60.28
07-Sep-24 21:00:00,RUN,125.04,376.69,41.96,99.20,271.30,39.47,6987.83,7013.92,62.37,51.61,60.73,60.30
07-Sep-24 22:00:00,RUN,95.96,358.99,42.06,99.06,266.19,39.47,6945.97,6970.21,62.01,51.46,60.93,60.25
07-Sep-24 23:00:00,RUN,132.74,392.70,41.93,99.27,269.90,39.47,7019.17,7044.58,62.35,53.00,61.88,58.72
08-Sep-24 00:00:00,RUN,94.87,356.00,41.96,99.22,265.60,40.88,6877.30,6901.45,63.45,55.50,62.03,59.70
08-Sep-24 01:00:00,RUN,114.71,379.93,42.08,99.01,265.37,40.88,6955.06,6982.18,63.19,53.96,62.31,58.86
08-Sep-24 02:00:00,RUN,94.14,358.38,41.98,99.22,264.19,40.88,6873.83,6893.55,63.32,55.21,62.69,59.57
08-Sep-24 03:00:00,RUN,88.78,352.64,39.58,95.88,271.57,40.88,7013.16,7044.53,63.22,54.61,62.31,59.89
08-Sep-24 04:00:00,RUN,92.88,367.34,42.03,99.07,260.94,40.88,7060.24,7084.46,63.75,55.65,62.16,59.33
08-Sep-24 05:00:00,RUN,92.29,357.42,40.28,95.33,269.29,40.88,6911.50,6942.26,63.41,53.22,61.12,56.62
08-Sep-24 06:00:00,RUN,92.74,361.19,40.99,97.76,263.99,40.88,7042.55,7061.53,62.96,55.05,61.49,58.99
08-Sep-24 07:00:00,RUN,93.30,351.39,41.93,98.32,268.39,40.88,6998.72,7016.39,63.47,52.92,61.63,58.43
08-Sep-24 08:00:00,RUN,96.36,355.95,39.96,94.74,253.25,40.88,5905.20,5928.72,62.08,52.04,60.31,56.21
08-Sep-24 09:00:00,RUN,86.89,375.04,37.48,89.24,269.87,40.88,7554.17,7575.39,62.13,53.62,61.39,57.51
08-Sep-24 10:00:00,RUN,85.91,356.90,36.43,86.47,263.40,40.88,6749.27,6782.67,63.13,53.15,62.32,59.21
08-Sep-24 11:00:00,RUN,103.73,407.16,41.67,98.23,257.55,40.88,6354.70,6377.17,61.71,52.29,60.96,58.18
08-Sep-24 12:00:00,RUN,100.53,432.11,41.95,99.27,261.98,40.88,6725.40,6757.41,62.49,54.94,61.56,57.98
08-Sep-24 13:00:00,RUN,112.35,428.17,41.96,99.30,262.42,40.88,6857.37,6884.40,61.71,52.59,60.47,57.21
08-Sep-24 14:00:00,RUN,99.27,404.10,42.07,99.05,265.70,40.88,6444.45,6468.01,61.92,52.15,60.68,56.27
08-Sep-24 15:00:00,RUN,118.88,500.13,42.05,99.03,268.24,40.88,6942.11,6967.76,60.76,51.69,60.32,56.95
08-Sep-24 16:00:00,RUN,96.05,437.66,42.01,99.14,264.80,40.88,6642.67,6673.43,61.47,50.86,60.69,55.90
08-Sep-24 17:00:00,RUN,105.82,457.84,42.06,99.02,264.03,40.88,7149.25,7180.01,61.54,52.28,60.33,56.74
08-Sep-24 18:00:00,RUN,102.22,438.49,41.96,99.23,268.54,40.88,7009.67,7033.23,61.58,53.17,60.25,57.60
08-Sep-24 19:00:00,RUN,100.46,453.05,42.03,99.08,267.54,40.88,6999.42,7030.92,61.77,52.74,60.95,57.30
08-Sep-24 20:00:00,RUN,96.13,446.24,42.02,99.16,265.18,40.88,6576.61,6607.31,61.89,53.46,60.92,56.76
08-Sep-24 21:00:00,RUN,101.34,472.84,42.04,99.08,269.22,40.88,7065.63,7087.71,61.12,52.26,60.22,56.69
08-Sep-24 22:00:00,RUN,120.49,559.71,42.01,99.18,274.82,40.88,7464.72,7494.91,61.31,51.87,60.05,56.23
08-Sep-24 23:00:00,RUN,206.32,519.36,42.00,99.18,256.85,40.88,6527.17,6553.72,62.02,52.57,60.64,56.35
09-Sep-24 00:00:00,RUN,140.67,513.74,41.99,99.19,276.42,40.89,7397.25,7428.08,62.01,53.69,60.34,56.74
09-Sep-24 01:00:00,RUN,129.60,478.54,42.07,99.06,266.37,40.89,7009.76,7039.23,61.33,51.80,60.34,56.03
09-Sep-24 02:00:00,RUN,112.18,450.63,41.97,99.24,267.73,40.89,6790.53,6829.04,61.70,51.40,60.00,55.64
09-Sep-24 03:00:00,RUN,113.19,474.16,42.06,99.06,265.08,40.89,6966.39,6991.18,61.61,53.24,60.31,56.72
09-Sep-24 04:00:00,RUN,117.21,490.93,41.97,99.23,267.83,40.89,7004.61,7024.90,61.15,52.09,59.53,54.86
09-Sep-24 05:00:00,RUN,137.18,484.62,42.01,99.15,266.03,40.89,6904.95,6923.28,61.20,53.03,60.16,56.73
09-Sep-24 06:00:00,RUN,97.04,463.43,42.02,99.16,269.31,40.89,7257.72,7286.52,61.38,52.28,60.41,56.70
09-Sep-24 07:00:00,RUN,128.16,479.60,42.04,99.11,263.96,40.89,7033.23,7058.10,61.89,53.10,60.76,57.70
09-Sep-24 08:00:00,RUN,95.84,420.44,42.02,99.15,267.28,40.89,6921.41,6946.28,61.48,52.55,60.58,57.09
09-Sep-24 09:00:00,RUN,73.82,311.59,24.74,58.27,238.39,40.89,4793.96,4822.85,58.45,50.95,58.62,55.57
09-Sep-24 10:00:00,RUN,87.76,436.46,37.87,89.58,258.63,40.89,6561.47,6581.43,59.67,49.01,59.26,56.29
09-Sep-24 11:00:00,RUN,96.85,455.94,41.73,98.66,266.69,40.89,7160.71,7185.95,60.30,50.33,59.59,56.12
09-Sep-24 12:00:00,RUN,102.89,448.25,41.94,99.28,263.31,40.89,6931.81,6954.50,59.80,50.10,59.63,56.04
09-Sep-24 13:00:00,RUN,89.24,415.17,38.44,90.43,261.32,40.89,6586.89,6615.10,58.88,48.60,59.04,54.20
09-Sep-24 14:00:00,RUN,86.59,401.87,36.69,86.40,252.83,40.89,6290.93,6315.89,58.81,49.34,58.59,54.52
09-Sep-24 15:00:00,RUN,119.36,497.74,42.03,99.11,267.84,40.89,7233.03,7252.66,59.54,48.92,58.89,54.19
09-Sep-24 16:00:00,RUN,115.41,504.36,42.02,99.15,256.50,40.89,6514.74,6530.96,59.47,48.81,58.93,53.98
09-Sep-24 17:00:00,RUN,112.99,486.05,41.97,99.22,268.50,40.89,7034.71,7060.89,59.17,47.70,59.05,53.31
09-Sep-24 18:00:00,RUN,112.68,485.63,42.02,99.12,268.86,40.89,6877.64,6907.09,59.25,48.80,58.55,53.91
09-Sep-24 19:00:00,RUN,124.68,512.58,41.95,99.26,268.69,40.89,7424.90,7444.89,58.54,46.82,58.32,52.67
09-Sep-24 20:00:00,RUN,101.09,451.78,42.04,99.13,259.24,40.89,6567.23,6588.48,59.28,47.55,58.82,53.98
09-Sep-24 21:00:00,RUN,108.50,462.67,41.94,99.32,258.56,40.89,6597.32,6623.91,59.52,48.76,59.26,54.51
09-Sep-24 22:00:00,RUN,105.89,464.84,42.04,99.09,268.22,40.89,6914.24,6944.48,58.69,46.32,58.74,52.84
09-Sep-24 23:00:00,RUN,116.21,484.37,42.01,99.16,262.07,40.89,6845.06,6863.89,59.13,47.84,58.94,54.11
10-Sep-24 00:00:00,RUN,133.82,505.00,42.05,99.11,267.73,41.62,7003.60,7021.55,58.96,47.50,59.00,53.96
10-Sep-24 01:00:00,RUN,110.08,476.71,41.92,99.29,269.26,41.62,6849.48,6877.69,58.98,49.87,59.20,54.13
10-Sep-24 02:00:00,RUN,120.85,488.59,42.03,99.10,267.51,41.62,6985.13,7008.56,59.34,48.45,58.95,54.36
10-Sep-24 03:00:00,RUN,123.00,491.44,41.97,99.21,265.48,41.62,6653.52,6681.37,59.47,48.74,59.46,54.93
10-Sep-24 04:00:00,RUN,120.32,497.50,42.06,99.03,268.18,41.62,7215.58,7231.38,59.64,48.68,59.30,53.60
10-Sep-24 05:00:00,RUN,115.52,492.79,42.09,98.96,265.52,41.62,6785.01,6807.92,59.61,48.61,59.16,54.85
10-Sep-24 06:00:00,RUN,137.52,500.67,42.01,99.14,266.30,41.62,6978.25,6999.85,59.50,48.54,59.43,54.52
10-Sep-24 07:00:00,RUN,126.04,497.48,41.97,99.22,266.64,41.62,6867.65,6890.55,59.69,48.83,59.22,54.25
10-Sep-24 08:00:00,RUN,101.29,299.39,41.99,99.18,248.78,41.62,5458.69,5512.36,58.42,48.54,58.43,53.81
10-Sep-24 09:00:00,RUN,84.84,209.82,34.01,79.53,224.56,41.62,3142.68,3163.45,56.41,47.94,56.72,52.60
10-Sep-24 10:00:00,RUN,106.77,440.36,41.94,99.24,276.92,41.62,7361.21,7393.08,58.92,48.97,58.63,54.26
10-Sep-24 11:00:00,RUN,91.24,400.18,40.74,96.73,267.07,41.62,6681.91,6714.72,60.73,53.29,60.11,56.64
10-Sep-24 12:00:00,RUN,92.34,398.58,41.97,99.22,260.28,41.62,6288.11,6309.47,60.17,50.16,58.75,54.64
10-Sep-24 13:00:00,RUN,91.00,426.52,39.39,93.23,262.03,41.62,6692.28,6720.23,60.29,48.71,59.52,56.17
10-Sep-24 14:00:00,RUN,94.04,371.50,42.01,99.15,258.75,41.62,6458.15,6478.87,60.85,51.44,60.06,56.99
10-Sep-24 15:00:00,RUN,141.70,585.24,41.98,99.20,280.86,41.62,7905.89,7939.20,58.85,48.45,58.33,54.75
10-Sep-24 16:00:00,RUN,134.17,448.01,42.00,99.13,249.21,41.62,5829.79,5848.77,59.25,49.73,59.71,56.00
10-Sep-24 17:00:00,RUN,183.53,467.12,42.06,99.04,251.10,41.62,5841.92,5870.72,60.07,50.31,59.50,56.01
10-Sep-24 18:00:00,RUN,136.52,450.63,41.97,99.21,261.21,41.62,6175.20,6207.93,59.89,49.53,59.68,56.16
10-Sep-24 19:00:00,RUN,151.37,429.44,42.00,99.14,254.64,41.62,6312.05,6333.50,59.42,49.92,58.64,55.49
10-Sep-24 20:00:00,RUN,134.75,478.94,41.95,99.07,267.48,41.62,6580.32,6609.03,58.92,51.17,58.54,55.42
10-Sep-24 21:00:00,RUN,116.73,351.71,41.99,99.20,245.85,41.62,5355.06,5380.06,59.70,48.72,58.94,55.14
10-Sep-24 22:00:00,RUN,95.67,348.15,41.95,99.27,253.00,41.62,5759.87,5783.02,59.83,50.13,59.36,56.02
10-Sep-24 23:00:00,RUN,126.73,407.03,42.04,99.08,260.82,41.62,6297.40,6320.18,60.88,50.67,60.19,55.90
11-Sep-24 00:00:00,RUN,139.25,427.08,42.05,99.05,260.46,41.96,6340.16,6366.97,61.13,52.48,60.23,56.21
11-Sep-24 01:00:00,RUN,98.17,390.17,42.02,99.16,255.16,41.96,6282.17,6315.48,60.87,50.21,60.20,56.95
11-Sep-24 02:00:00,RUN,111.49,386.44,41.93,99.29,258.47,41.96,6318.28,6347.84,60.56,50.21,59.83,55.46
11-Sep-24 03:00:00,RUN,131.25,420.15,41.94,99.30,261.49,41.96,6539.55,6561.95,60.69,50.58,59.81,55.69
11-Sep-24 04:00:00,RUN,115.68,396.69,41.91,99.35,262.90,41.96,6562.26,6585.04,60.69,50.35,60.00,56.24
11-Sep-24 05:00:00,RUN,125.38,406.77,42.03,99.16,262.48,41.96,6499.01,6512.10,59.73,48.93,58.82,54.62
11-Sep-24 06:00:00,RUN,94.77,369.12,41.99,99.19,259.81,41.96,6106.98,6129.23,59.50,49.43,58.72,55.53
