Datetime,Mud Pump B,MUD PUMP B SLEECTED PRESSURE,MUD PUMP B SPEED,MUD PUMP B SPEED,Mud Pump B Current,MUD PUMP B SPEED,MUD PUMP B CYLINDER 1,MUD PUMP B CYLINDER 3,Mud Pump B Cylinder #1 Temperature,Mud Pump B Cylinder #2 Temperature,Mud Pump B Cylinder #3 Temperature,Mud Pump B Cylinder #4 Temperature
05-Sep-24 14:00:00,RUN,6816.46,40.17,94.32,31.92,40.17,6938.67,6870.84,52.50,46.62,58.79,44.29
05-Sep-24 15:00:00,RUN,5053.20,34.93,81.50,25.95,34.93,5146.97,5094.87,52.27,47.14,58.47,44.28
05-Sep-24 16:00:00,RUN,6683.22,41.88,99.19,31.75,41.88,6806.04,6749.98,51.71,46.87,57.90,44.38
05-Sep-24 17:00:00,RUN,7270.51,41.78,99.27,33.72,41.78,7383.72,7319.19,52.88,47.11,58.66,45.15
05-Sep-24 18:00:00,RUN,6630.14,33.25,79.16,33.78,33.25,6765.13,6703.86,52.17,48.36,58.01,44.86
05-Sep-24 19:00:00,RUN,7129.14,38.11,89.37,32.12,38.11,7265.79,7197.41,52.59,47.28,58.06,45.16
05-Sep-24 20:00:00,RUN,7134.64,38.27,90.55,29.08,38.27,7247.77,7191.30,51.87,48.53,58.26,44.74
05-Sep-24 21:00:00,RUN,7049.96,42.10,99.00,34.17,42.10,7167.78,7107.85,53.48,48.41,59.53,46.37
05-Sep-24 22:00:00,RUN,6975.46,41.97,99.13,31.48,41.97,7100.63,7041.87,52.53,48.18,58.92,44.98
05-Sep-24 23:00:00,RUN,6906.33,36.27,85.54,29.32,36.27,7015.02,6951.19,52.11,47.84,58.23,44.44
06-Sep-24 00:00:00,RUN,6945.97,33.90,80.47,33.69,33.90,7076.19,7012.81,52.89,47.85,58.59,44.56
06-Sep-24 01:00:00,RUN,6849.14,36.71,87.25,28.30,36.71,6935.48,6882.25,52.01,47.59,58.58,44.75
06-Sep-24 02:00:00,RUN,6788.89,34.29,81.29,29.61,34.29,6894.65,6835.79,51.59,46.22,57.68,43.39
06-Sep-24 03:00:00,RUN,6919.48,35.95,84.82,30.78,35.95,7046.29,6984.52,51.64,46.55,57.91,43.47
06-Sep-24 04:00:00,RUN,7034.65,37.28,87.45,35.31,37.28,7167.17,7101.90,51.64,46.82,57.94,43.38
06-Sep-24 05:00:00,RUN,6796.65,35.93,84.51,30.66,35.93,6906.25,6849.13,51.38,46.63,57.79,42.54
06-Sep-24 06:00:00,RUN,7016.10,39.53,93.89,28.59,39.53,7126.37,7070.65,52.17,47.24,58.62,44.35
06-Sep-24 07:00:00,RUN,7132.02,38.25,90.68,31.32,38.25,7238.22,7186.07,52.00,46.63,58.59,44.10
06-Sep-24 08:00:00,RUN,5900.40,35.67,83.73,28.30,35.67,5975.98,5914.12,52.18,46.86,58.47,43.93
06-Sep-24 09:00:00,RUN,3399.72,20.69,48.78,24.67,20.69,3426.26,3387.74,50.39,44.04,56.21,42.64
06-Sep-24 10:00:00,RUN,6982.54,33.82,80.04,32.72,33.82,7097.33,7040.77,51.82,46.09,57.35,43.82
06-Sep-24 11:00:00,RUN,6969.40,37.08,87.12,34.02,37.08,7091.33,7032.67,53.66,46.83,59.81,45.73
06-Sep-24 12:00:00,RUN,6956.13,39.11,91.95,31.16,39.11,7057.98,6998.69,54.29,46.92,60.43,45.57
06-Sep-24 13:00:00,RUN,7246.85,41.05,97.21,34.08,41.05,7370.64,7309.83,54.38,46.79,60.47,46.11
06-Sep-24 14:00:00,RUN,7065.80,41.92,99.07,32.89,41.92,7178.46,7120.88,55.38,49.96,61.17,46.87
06-Sep-24 15:00:00,RUN,7585.38,41.49,97.90,33.49,41.49,7709.06,7647.37,53.39,49.14,61.00,48.08
06-Sep-24 16:00:00,RUN,6830.16,39.84,94.07,31.67,39.84,6931.35,6875.95,55.82,52.35,61.87,49.38
06-Sep-24 17:00:00,RUN,7003.38,40.78,95.49,32.90,40.78,7111.08,7050.46,55.24,51.42,61.90,49.80
06-Sep-24 18:00:00,RUN,6984.29,39.54,94.13,33.74,39.54,7083.88,7029.13,55.02,50.98,61.47,49.43
06-Sep-24 19:00:00,RUN,6963.23,41.12,96.59,31.81,41.12,7064.87,7009.48,55.13,52.19,61.48,49.44
06-Sep-24 20:00:00,RUN,6955.15,33.92,79.73,30.56,33.92,7064.50,7011.46,52.55,48.48,59.79,47.62
06-Sep-24 21:00:00,RUN,7063.89,38.60,90.46,32.70,38.60,7184.44,7123.79,50.94,47.88,56.72,45.07
06-Sep-24 22:00:00,RUN,7261.50,42.05,98.97,35.32,42.05,7377.73,7320.24,52.59,50.26,58.20,44.95
06-Sep-24 23:00:00,RUN,6676.26,37.45,88.59,33.44,37.45,6778.58,6723.57,55.32,49.29,60.69,47.05
07-Sep-24 00:00:00,RUN,6605.18,36.06,84.22,29.19,36.06,6724.92,6664.23,54.77,51.23,61.17,46.98
07-Sep-24 01:00:00,RUN,7266.74,39.03,92.23,31.97,39.03,7379.25,7322.30,56.14,49.42,62.21,48.81
07-Sep-24 02:00:00,RUN,6971.59,38.36,90.10,34.07,38.36,7077.51,7021.87,55.45,51.69,61.71,47.98
07-Sep-24 03:00:00,RUN,7120.18,40.11,95.02,31.60,40.11,7234.91,7170.05,54.94,51.40,61.77,47.11
07-Sep-24 04:00:00,RUN,6924.18,36.20,86.29,34.30,36.20,7027.39,6967.97,53.36,49.35,60.98,47.08
07-Sep-24 05:00:00,RUN,7008.28,38.35,90.72,28.79,38.35,7127.55,7055.85,55.30,48.30,61.84,46.46
07-Sep-24 06:00:00,RUN,7245.47,38.97,92.10,34.24,38.97,7366.78,7303.55,52.75,48.78,60.72,45.66
07-Sep-24 07:00:00,RUN,6857.85,37.86,89.20,31.35,37.86,6968.68,6908.71,55.07,48.32,61.61,45.00
07-Sep-24 08:00:00,RUN,6731.98,35.47,84.39,27.96,35.47,6797.18,6744.45,54.64,48.34,60.63,45.42
07-Sep-24 09:00:00,RUN,5777.45,37.57,89.05,27.78,37.57,5873.86,5824.82,52.75,46.65,58.64,44.92
07-Sep-24 10:00:00,RUN,7407.13,37.10,88.16,29.19,37.10,7499.27,7456.30,54.19,47.32,60.88,45.71
07-Sep-24 11:00:00,RUN,6882.58,35.11,82.87,31.41,35.11,6990.43,6941.43,54.95,48.55,61.08,46.94
07-Sep-24 12:00:00,RUN,6971.28,39.03,92.37,30.61,39.03,7061.13,7010.92,54.86,47.78,62.13,46.80
07-Sep-24 13:00:00,RUN,7307.32,41.92,99.16,35.65,41.92,7410.88,7357.65,55.35,48.42,62.12,46.65
07-Sep-24 14:00:00,RUN,6941.00,41.82,99.24,31.35,41.82,7062.87,6991.21,55.92,48.03,62.76,47.87
07-Sep-24 15:00:00,RUN,6882.45,42.16,98.97,33.97,42.16,6986.77,6929.36,56.14,48.28,62.91,47.95
07-Sep-24 16:00:00,RUN,7152.18,42.28,98.88,33.46,42.28,7280.73,7212.94,55.33,51.75,61.81,48.43
07-Sep-24 17:00:00,RUN,7041.05,42.18,98.96,31.45,42.18,7165.36,7094.96,53.42,48.00,62.02,47.60
07-Sep-24 18:00:00,RUN,6933.07,42.02,99.09,30.48,42.02,7036.47,6976.33,54.52,50.42,61.53,49.77
07-Sep-24 19:00:00,RUN,6995.62,41.89,99.20,31.10,41.89,7107.61,7040.12,52.76,46.88,61.77,46.99
07-Sep-24 20:00:00,RUN,6983.11,41.84,99.21,29.87,41.84,7085.36,7034.43,54.08,49.61,61.70,46.87
07-Sep-24 21:00:00,RUN,7016.36,41.76,99.28,32.28,41.76,7119.77,7060.87,52.26,46.69,61.17,47.10
07-Sep-24 22:00:00,RUN,6964.76,41.97,99.11,29.47,41.97,7074.86,7011.27,51.90,46.41,61.10,47.03
07-Sep-24 23:00:00,RUN,7047.36,41.81,99.24,30.69,41.81,7152.21,7091.75,52.50,47.34,60.65,46.39
08-Sep-24 00:00:00,RUN,6906.55,41.86,99.21,31.52,41.86,7004.23,6951.95,53.21,49.02,61.16,46.35
08-Sep-24 01:00:00,RUN,6987.00,41.82,99.23,28.77,41.82,7080.43,7027.02,53.19,49.01,61.33,46.54
08-Sep-24 02:00:00,RUN,6885.88,42.01,99.08,33.78,42.01,7000.36,6938.41,53.87,50.31,61.50,46.43
08-Sep-24 03:00:00,RUN,7045.00,39.03,93.02,28.82,39.03,7145.46,7086.86,53.20,49.35,61.26,46.01
08-Sep-24 04:00:00,RUN,7083.11,41.90,98.78,31.97,41.90,7184.26,7138.63,54.51,51.30,61.58,46.09
08-Sep-24 05:00:00,RUN,6936.06,40.25,94.64,29.62,40.25,7039.56,6976.33,52.45,47.25,61.19,47.06
08-Sep-24 06:00:00,RUN,7069.31,40.40,95.52,32.48,40.40,7173.18,7113.86,52.71,48.37,61.14,45.41
08-Sep-24 07:00:00,RUN,7013.37,41.64,99.05,31.66,41.64,7121.04,7060.41,54.65,48.43,61.80,45.98
08-Sep-24 08:00:00,RUN,5943.03,40.26,94.65,27.70,40.26,6026.74,5970.09,52.13,46.61,60.14,46.59
08-Sep-24 09:00:00,RUN,7579.18,37.40,88.63,28.63,37.40,7690.83,7639.79,53.03,48.57,59.89,45.51
08-Sep-24 10:00:00,RUN,6781.43,37.77,88.22,29.81,37.77,6885.64,6827.23,54.46,50.08,61.18,46.43
08-Sep-24 11:00:00,RUN,6382.09,41.00,96.50,31.38,41.00,6509.03,6441.41,52.80,48.52,59.94,45.88
08-Sep-24 12:00:00,RUN,6751.94,42.21,98.94,29.33,42.21,6884.21,6811.12,53.94,49.20,60.41,45.85
08-Sep-24 13:00:00,RUN,6869.51,41.87,99.19,33.17,41.87,7001.25,6946.00,52.67,48.32,59.95,46.27
08-Sep-24 14:00:00,RUN,6475.86,41.93,99.14,29.89,41.93,6592.53,6531.78,53.12,48.31,60.08,46.76
08-Sep-24 15:00:00,RUN,6971.79,41.97,99.12,30.02,41.97,7112.47,7043.97,52.24,47.41,58.58,45.55
08-Sep-24 16:00:00,RUN,6666.28,41.76,99.29,28.77,41.76,6800.98,6740.36,52.70,47.46,58.99,45.40
08-Sep-24 17:00:00,RUN,7186.66,42.20,98.96,31.95,42.20,7308.11,7258.57,52.03,47.25,59.23,44.88
08-Sep-24 18:00:00,RUN,7029.34,42.16,98.97,31.18,42.16,7160.15,7101.00,52.76,47.84,59.55,44.68
08-Sep-24 19:00:00,RUN,7017.70,42.20,98.94,29.67,42.20,7154.15,7096.16,53.16,47.91,59.99,45.52
08-Sep-24 20:00:00,RUN,6606.02,42.04,99.06,33.55,42.04,6733.95,6679.70,53.55,46.92,60.11,45.38
08-Sep-24 21:00:00,RUN,7088.38,42.15,98.98,31.25,42.15,7233.72,7167.91,51.91,47.44,59.21,44.94
08-Sep-24 22:00:00,RUN,7491.17,41.93,99.16,37.12,41.93,7642.22,7585.75,52.09,48.12,59.30,44.77
08-Sep-24 23:00:00,RUN,6556.12,42.22,98.93,30.63,42.22,6677.98,6612.58,52.38,47.55,60.10,44.68
09-Sep-24 00:00:00,RUN,7423.36,42.14,98.99,33.18,42.14,7555.81,7494.45,52.38,48.35,59.90,44.78
09-Sep-24 01:00:00,RUN,7028.72,41.99,99.10,34.45,41.99,7156.89,7101.42,52.54,47.92,59.87,44.87
09-Sep-24 02:00:00,RUN,6830.70,41.83,99.23,32.90,41.83,6959.49,6892.91,50.88,45.74,59.70,44.94
09-Sep-24 03:00:00,RUN,6977.87,42.15,98.98,29.40,42.15,7120.71,7060.96,52.09,47.83,59.30,43.42
09-Sep-24 04:00:00,RUN,7024.89,41.91,99.17,34.91,41.91,7164.06,7106.04,51.06,46.28,59.13,42.96
09-Sep-24 05:00:00,RUN,6926.09,41.81,99.24,33.41,41.81,7061.72,6996.53,52.00,48.01,59.16,43.71
09-Sep-24 06:00:00,RUN,7267.56,41.79,99.27,32.30,41.79,7418.92,7354.39,52.21,48.56,59.44,44.52
09-Sep-24 07:00:00,RUN,7064.56,42.01,99.10,35.51,42.01,7191.43,7137.98,52.34,48.65,59.62,44.47
09-Sep-24 08:00:00,RUN,6950.95,41.81,99.26,33.13,41.81,7079.35,7006.28,51.19,46.40,59.38,44.07
09-Sep-24 09:00:00,RUN,4832.87,26.91,63.72,28.75,26.91,4904.56,4853.72,48.87,42.75,57.28,42.66
09-Sep-24 10:00:00,RUN,6568.01,37.71,88.66,31.59,37.71,6719.38,6657.89,49.94,44.14,57.87,43.72
09-Sep-24 11:00:00,RUN,7182.50,41.07,97.10,35.02,41.07,7323.08,7264.24,51.25,45.73,57.55,43.87
09-Sep-24 12:00:00,RUN,6961.32,42.18,98.95,32.52,42.18,7091.61,7035.55,50.41,44.06,57.01,42.73
09-Sep-24 13:00:00,RUN,6619.70,38.91,91.66,30.57,38.91,6736.66,6677.45,49.27,42.81,55.61,40.47
09-Sep-24 14:00:00,RUN,6310.87,36.17,85.44,30.04,36.17,6438.72,6383.25,48.56,41.76,55.01,40.32
09-Sep-24 15:00:00,RUN,7265.34,41.84,99.22,35.02,41.84,7391.55,7338.75,48.66,41.52,54.81,38.37
09-Sep-24 16:00:00,RUN,6528.52,42.17,98.98,29.30,42.17,6675.72,6607.31,49.19,42.00,56.13,40.45
09-Sep-24 17:00:00,RUN,7057.36,41.88,99.19,33.47,41.88,7194.69,7134.72,48.94,41.04,55.67,39.58
09-Sep-24 18:00:00,RUN,6907.89,41.94,99.11,33.42,41.94,7036.95,6986.76,49.04,41.50,55.18,39.38
09-Sep-24 19:00:00,RUN,7443.76,41.97,99.12,29.39,41.97,7582.75,7528.45,48.67,41.16,55.52,39.56
09-Sep-24 20:00:00,RUN,6603.00,41.73,99.31,30.04,41.73,6729.91,6674.57,48.69,40.73,55.72,39.66
09-Sep-24 21:00:00,RUN,6617.25,41.86,99.22,28.67,41.86,6748.01,6692.50,48.81,41.56,56.14,40.37
09-Sep-24 22:00:00,RUN,6945.93,41.99,99.11,31.27,41.99,7077.28,7021.80,48.34,39.96,55.36,38.85
09-Sep-24 23:00:00,RUN,6868.04,41.96,99.14,32.98,41.96,7006.07,6946.02,48.90,41.75,56.09,40.84
10-Sep-24 00:00:00,RUN,7022.13,42.07,99.05,32.39,42.07,7154.26,7100.13,48.65,40.68,56.03,39.61
10-Sep-24 01:00:00,RUN,6873.26,41.86,99.21,33.24,41.86,7013.96,6953.91,48.52,40.04,55.62,39.05
10-Sep-24 02:00:00,RUN,7014.64,41.86,99.20,34.02,41.86,7155.82,7093.79,49.44,42.25,56.86,41.64
10-Sep-24 03:00:00,RUN,6640.32,41.36,100.00,25.31,41.36,6783.69,6720.55,49.26,42.54,50.75,41.27
10-Sep-24 04:00:00,RUN,7232.95,41.97,99.56,31.98,41.97,7372.06,7301.23,49.61,42.62,38.31,41.86
10-Sep-24 05:00:00,RUN,6844.09,42.00,99.83,31.08,42.00,6949.60,6891.59,49.69,43.12,32.23,41.57
10-Sep-24 06:00:00,RUN,7003.26,42.05,99.68,26.60,42.05,7108.17,7048.20,48.85,41.47,28.13,39.67
10-Sep-24 07:00:00,RUN,6860.44,42.25,99.62,26.41,42.25,7021.78,6938.35,49.23,41.98,25.68,39.18
10-Sep-24 08:00:00,RUN,5514.78,42.34,99.54,16.05,42.34,5562.35,5514.77,48.80,42.76,24.93,40.74
10-Sep-24 09:00:00,RUN,3182.74,33.10,77.79,13.39,33.10,3210.79,3167.27,47.43,40.35,24.34,40.26
10-Sep-24 10:00:00,RUN,7378.52,41.23,100.00,30.14,41.23,7504.36,7420.44,48.34,42.15,24.07,38.61
10-Sep-24 11:00:00,RUN,6704.84,40.46,97.40,29.51,40.46,6827.34,6758.22,51.96,47.50,24.87,43.56
10-Sep-24 12:00:00,RUN,6315.82,41.41,100.00,28.23,41.41,6439.24,6361.58,51.16,45.30,24.67,42.38
10-Sep-24 13:00:00,RUN,6726.07,39.77,96.46,21.74,39.77,6845.92,6775.95,51.19,46.45,24.81,41.95
10-Sep-24 14:00:00,RUN,6473.58,41.48,100.00,28.44,41.48,6591.92,6521.50,51.65,45.80,24.74,43.01
10-Sep-24 15:00:00,RUN,7896.54,41.11,100.00,32.37,41.11,8081.43,7979.50,50.38,45.58,25.07,42.43
10-Sep-24 16:00:00,RUN,5854.57,42.21,99.62,22.36,42.21,5962.07,5899.50,51.05,46.14,25.42,42.97
10-Sep-24 17:00:00,RUN,5859.55,42.39,99.51,23.11,42.39,5946.43,5905.36,51.18,46.44,25.43,42.71
10-Sep-24 18:00:00,RUN,6205.14,42.01,99.73,35.36,42.01,6306.89,6247.58,51.16,46.88,25.65,43.01
10-Sep-24 19:00:00,RUN,6352.77,41.70,99.75,28.31,41.70,6429.20,6378.44,50.72,46.02,25.65,42.86
10-Sep-24 20:00:00,RUN,6569.68,42.21,99.58,20.40,42.21,6702.64,6628.01,50.29,45.61,25.43,42.24
10-Sep-24 21:00:00,RUN,5411.93,41.20,100.00,22.74,41.20,5491.84,5431.28,50.53,45.93,25.16,41.71
10-Sep-24 22:00:00,RUN,5791.73,41.30,100.00,27.75,41.30,5889.48,5819.82,51.01,47.38,25.12,42.48
10-Sep-24 23:00:00,RUN,6345.49,41.96,99.78,27.48,41.96,6425.53,6376.58,51.61,46.90,25.03,42.48
11-Sep-24 00:00:00,RUN,6369.54,41.97,99.76,18.75,41.97,6479.78,6406.21,51.42,46.06,24.64,42.30
11-Sep-24 01:00:00,RUN,6316.67,41.26,100.00,33.35,41.26,6416.34,6351.17,51.60,46.44,24.51,42.49
11-Sep-24 02:00:00,RUN,6370.48,41.90,99.81,22.02,41.90,6448.60,6396.59,50.90,46.10,24.10,42.22
11-Sep-24 03:00:00,RUN,6547.23,41.25,100.00,32.46,41.25,6662.51,6578.27,51.31,46.53,24.54,43.20
11-Sep-24 04:00:00,RUN,6542.52,41.24,100.00,22.85,41.24,6656.13,6593.62,51.77,45.99,24.65,42.44
11-Sep-24 05:00:00,RUN,6518.76,42.00,99.61,21.67,42.00,6611.95,6565.67,50.09,44.80,24.15,41.43
11-Sep-24 06:00:00,RUN,6119.40,41.17,100.00,25.60,41.17,6206.35,6135.30,50.17,45.66,24.37,41.61
11-Sep-24 07:00:00,RUN,5965.88,41.54,99.87,26.37,41.54,6064.25,5986.69,51.09,47.64,24.47,41.43
11-Sep-24 08:00:00,RUN,4650.76,41.95,99.56,19.31,41.95,4619.29,4576.92,70.83,57.92,24.39,51.37
11-Sep-24 09:00:00,RUN,904.79,41.87,99.19,9.59,41.87,886.85,874.53,72.27,68.97,31.42,58.10
11-Sep-24 10:00:00,RUN,6000.83,42.03,99.80,17.13,42.03,6091.37,6033.92,49.78,46.31,34.70,42.04
11-Sep-24 11:00:00,RUN,6427.16,41.39,100.00,31.46,41.39,6521.37,6446.71,49.93,46.12,33.45,41.00
11-Sep-24 12:00:00,RUN,6240.01,41.87,99.75,18.32,41.87,6368.95,6297.44,49.63,45.18,31.47,42.17
11-Sep-24 13:00:00,RUN,6413.22,41.22,100.00,30.47,41.22,6548.81,6472.50,49.98,44.92,29.74,42.07
11-Sep-24 14:00:00,STOP,5661.78,-0.04,100.00,0.26,-0.04,5499.97,5442.61,62.62,53.21,28.05,44.46
11-Sep-24 15:00:00,STOP,6490.75,Bad,-5.00,Bad,Bad,10.90,-23.02,48.85,46.26,19.90,41.68
11-Sep-24 16:00:00,STOP,6937.00,Bad,-5.00,Bad,Bad,10.17,-16.55,40.81,39.22,19.22,34.44
